model,accuracy,precision,recall,f1,f2,mcc
LGB,0.8545491636066911,0.8797058823529411,0.87,0.867158694963573,0.8671438478303943,0.7410827257271275
LDA,0.872093023255814,0.9077941176470589,0.89,0.8867733333333334,0.886072469528352,0.7898120090096905
LR,0.9651162790697674,0.9715,0.97,0.9698424467099166,0.9697228773584905,0.9400643223910575
GNB,0.8429212566299469,0.8718498417005881,0.86,0.8564346349745331,0.856477883422902,0.7221072186826403
RF,0.8953488372093024,0.9222727272727272,0.91,0.908032942667089,0.9074053893402021,0.8263626711502723
SVM,0.8604651162790697,0.9008695652173913,0.88,0.8759845559845558,0.8752948201224063,0.771719548591626
LGB,0.8677884615384616,0.8732435740514074,0.87,0.8694102228047182,0.8692412685668407,0.7422987525884315
LDA,0.875,0.9025,0.88,0.8776354679802956,0.8760061919504645,0.7806247497997998
LR,0.9166666666666667,0.9306666666666666,0.92,0.9192207792207792,0.9182707153885744,0.8498365855987975
GNB,0.8653846153846154,0.8879794079794081,0.87,0.8678056265984654,0.8665914694081438,0.7561908302965408
RF,0.8766025641025641,0.8893333333333334,0.88,0.8788311688311689,0.8781780751415337,0.7681215292912208
SVM,0.8453525641025641,0.8667524667524666,0.85,0.8474680306905371,0.8465170241222063,0.7147329996881778
LGB,0.8555555555555556,0.8948529411764706,0.87,0.8658958927251611,0.8647962526205452,0.7583952786593614
LDA,0.8555555555555556,0.8948529411764706,0.87,0.8658958927251611,0.8647962526205452,0.7583952786593614
LR,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
GNB,0.8464646464646465,0.8796472184531886,0.86,0.8561160151324085,0.8554497718015409,0.7331319583015127
RF,0.8666666666666667,0.9014925373134329,0.88,0.8766708701134931,0.8755950336163321,0.775880177444458
SVM,0.8666666666666667,0.9014925373134329,0.88,0.8766708701134931,0.8755950336163321,0.775880177444458
LGB,0.8656565656565656,0.8705665024630541,0.87,0.8694842844064694,0.8696043165467625,0.7371439937483032
LDA,0.8777777777777778,0.9083333333333334,0.89,0.8873417721518987,0.8863227893601726,0.7934920476158723
LR,0.9,0.92265625,0.91,0.9084033613445379,0.9075704225352113,0.82915619758885
GNB,0.8838383838383839,0.8929166666666667,0.89,0.889156010230179,0.8891233766233768,0.7795794428691073
RF,0.8727272727272728,0.8842370744010088,0.88,0.8788177339901477,0.8787598108516551,0.7603464941995492
SVM,0.8616161616161616,0.8757640067911714,0.87,0.8684069611780455,0.8683307306916519,0.7412723250204315
LGB,0.8546768366118025,0.8682723833543505,0.86,0.8584006527947775,0.8580352100175888,0.7258593320316837
LDA,0.851063829787234,0.8892537313432836,0.86,0.8559166666666667,0.8543099952967126,0.745261308049281
LR,0.8936170212765957,0.915873015873016,0.9,0.8983579638752053,0.8971717171717171,0.8138035745933652
GNB,0.8428342031312726,0.8662326388888889,0.85,0.8471115230151375,0.8463703416149068,0.7129511357755577
RF,0.8841830590124449,0.9021477079796264,0.89,0.8884808184143221,0.8876542213035333,0.790073375065862
SVM,0.8416298675230831,0.8737522281639929,0.85,0.8461562402738874,0.8450077775617344,0.7198819189939235
LGB,0.913961038961039,0.9219999999999999,0.92,0.9194745484400656,0.91943140323422,0.8388884110737054
LDA,0.9204545454545454,0.9377777777777777,0.93,0.9290341321713871,0.9285010878277796,0.864566219253764
LR,0.9545454545454546,0.9626666666666667,0.96,0.959737274220033,0.9595200834637455,0.9211323729436766
GNB,0.8733766233766234,0.8813333333333333,0.88,0.8792118226600985,0.8793427230046948,0.7566444492037343
RF,0.911525974025974,0.9251952461799661,0.92,0.919107069036792,0.9188353702372393,0.8417050946262346
SVM,0.9228896103896104,0.933635981504834,0.93,0.9293872927607868,0.929188086495308,0.8607561648500722
LGB,0.8484848484848485,0.856969696969697,0.84,0.84,0.8379767161782417,0.696969696969697
LDA,0.8909090909090909,0.9052631578947369,0.88,0.8797118847539015,0.8768349617365355,0.7856366083519626
LR,0.9363636363636363,0.9394230769230769,0.93,0.9301471324191772,0.9289597272259393,0.8690481892534816
GNB,0.8707070707070708,0.8845777233782129,0.86,0.8596638655462185,0.8568850170862012,0.745035233243334
RF,0.8484848484848485,0.856969696969697,0.84,0.84,0.8379767161782417,0.696969696969697
SVM,0.8303030303030303,0.8432068543451652,0.82,0.8195678271308523,0.8169851277855321,0.6638324830260769
LGB,0.9113645458183273,0.918409090909091,0.91,0.9096842105263159,0.9088037634408601,0.8285517339392285
LDA,0.8137254901960784,0.8630882352941177,0.81,0.8036803624755433,0.8004975603492552,0.6724089489993038
LR,0.8823529411764706,0.9036065573770492,0.88,0.8785454545454546,0.8763798818273526,0.7837550244071869
GNB,0.8333333333333333,0.8737878787878788,0.83,0.8255652173913043,0.8224918211559432,0.7035264706814485
RF,0.881952781112445,0.8962050434063663,0.88,0.8790338164251207,0.8775030012004802,0.7764345743979402
SVM,0.8917567026810724,0.9033743842364532,0.89,0.8893035875791377,0.8879921259842518,0.7935803715542659
LGB,0.8612012987012987,0.8711111111111112,0.85,0.8501650165016502,0.8475836431226766,0.7207954706122961
LDA,0.8303571428571428,0.8673015873015874,0.81,0.807460556727967,0.801955786402475,0.6793020294136717
LR,0.9107142857142857,0.9185185185185185,0.9,0.9002000800320127,0.8979066022544283,0.8181150098318508
GNB,0.7987012987012987,0.8285908319185059,0.78,0.7776154154957848,0.7729681185451279,0.6109417649358073
