model,accuracy,precision,recall,f1,f2,mcc
LGB,0.9302325581395349,0.9457142857142857,0.94,0.9392499999999999,0.9388694322497904,0.8823355697158679
LDA,0.9302325581395349,0.9457142857142857,0.94,0.9392499999999999,0.9388694322497904,0.8823355697158679
LR,0.9592003263973888,0.96,0.96,0.96,0.96,0.9184006527947777
GNB,0.9534883720930232,0.9626229508196721,0.96,0.9597023563455973,0.9595040915725085,0.9205991849449943
RF,0.9651162790697674,0.9715,0.97,0.9698424467099166,0.9697228773584905,0.9400643223910575
SVM,0.9155446756425949,0.9202315006200911,0.92,0.9197372742200329,0.9198050089152804,0.8365683680256628
LGB,0.9078525641025641,0.9138147694818441,0.91,0.9095916927109587,0.9092894419911681,0.8231591831536201
LDA,0.90625,0.92327868852459,0.91,0.9089288983826671,0.9077970356780765,0.8322397195638238
LR,0.9182692307692308,0.9224675324675325,0.92,0.9197423510466988,0.9195428864920391,0.8419530064884055
GNB,0.8974358974358975,0.9054187192118226,0.9,0.8993939393939394,0.8989782147676884,0.8046013100119358
RF,0.8974358974358975,0.9054187192118226,0.9,0.8993939393939394,0.8989782147676884,0.8046013100119358
SVM,0.9495192307692308,0.9501405058209553,0.95,0.9499749373433584,0.9499671363760239,0.8999402959126063
LGB,0.8666666666666667,0.9014925373134329,0.88,0.8766708701134931,0.8755950336163321,0.775880177444458
LDA,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
LR,0.9393939393939394,0.94,0.94,0.94,0.94,0.8787878787878788
GNB,0.8888888888888888,0.9153846153846155,0.9,0.8979166666666666,0.8969808241534067,0.8112457445926345
RF,0.8777777777777778,0.9083333333333334,0.89,0.8873417721518987,0.8863227893601726,0.7934920476158723
SVM,0.9282828282828283,0.9300324675324676,0.93,0.9299220568883491,0.9299462991718426,0.8584755043247572
LGB,0.8949494949494949,0.9018189334435718,0.9,0.8994288045695634,0.8994226309216822,0.7989897831156294
LDA,0.9,0.92265625,0.91,0.9084033613445379,0.9075704225352113,0.82915619758885
LR,0.9333333333333333,0.9459016393442623,0.94,0.9394088669950739,0.9389411592648564,0.883980070492159
GNB,0.8727272727272728,0.8842370744010088,0.88,0.8788177339901477,0.8787598108516551,0.7603464941995492
RF,0.8949494949494949,0.9018189334435718,0.9,0.8994288045695634,0.8994226309216822,0.7989897831156294
