model,accuracy,precision,recall,f1,f2,mcc
LGB,0.8545491636066911,0.8797058823529411,0.87,0.867158694963573,0.8671438478303943,0.7410827257271275
LDA,0.8372093023255813,0.887605633802817,0.86,0.8540451388888889,0.853510041764422,0.7358224340411601
LR,0.9186046511627908,0.93765625,0.93,0.9289235275656449,0.9284510010537409,0.8635042182199928
GNB,0.8894328845369237,0.9043758043758043,0.9,0.89875,0.8987076407043851,0.7986622108049273
RF,0.872093023255814,0.9077941176470589,0.89,0.8867733333333334,0.886072469528352,0.7898120090096905
SVM,0.9069767441860466,0.9298461538461538,0.92,0.918520386717108,0.9179634301165686,0.8448518198450706
LGB,0.9094551282051282,0.9100923323966279,0.91,0.9099548872180452,0.9099600827201462,0.819731713389201
LDA,0.8453525641025641,0.8667524667524666,0.85,0.8474680306905371,0.8465170241222063,0.7147329996881778
LR,0.9270833333333333,0.9383050847457628,0.93,0.9294543982184432,0.9286846377650255,0.8676548039151643
GNB,0.8974358974358975,0.9054187192118226,0.9,0.8993939393939394,0.8989782147676884,0.8046013100119358
RF,0.9182692307692308,0.9224675324675325,0.92,0.9197423510466988,0.9195428864920391,0.8419530064884055
SVM,0.8870192307692308,0.8972633319553535,0.89,0.8891426257718393,0.888608123965215,0.7862612951051113
LGB,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
LDA,0.8444444444444444,0.8884057971014494,0.86,0.8550084889643463,0.8539251217632301,0.7410224906998623
LR,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
GNB,0.8575757575757575,0.886764705882353,0.87,0.8668584579976986,0.8661933860531991,0.7510593177968417
RF,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
SVM,0.8777777777777778,0.9083333333333334,0.89,0.8873417721518987,0.8863227893601726,0.7934920476158723
LGB,0.8767676767676768,0.8801305589555284,0.88,0.8797077922077924,0.8797979634456297,0.7572156457759226
LDA,0.8282828282828283,0.8514285714285714,0.84,0.8366666666666667,0.836638106895145,0.6848178363444317
LR,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
GNB,0.8636363636363636,0.8725,0.87,0.869002557544757,0.8690746753246753,0.7385489458759964
RF,0.8727272727272728,0.8842370744010088,0.88,0.8788177339901477,0.8787598108516551,0.7603464941995492
SVM,0.8727272727272728,0.8842370744010088,0.88,0.8788177339901477,0.8787598108516551,0.7603464941995492
LGB,0.9078683259735046,0.9111688311688312,0.91,0.9097550156265752,0.9097047092125579,0.8201938114213995
LDA,0.8309915696507426,0.8671008593396653,0.84,0.8353333333333333,0.8341783032485119,0.7026505986125011
LR,0.8936170212765957,0.915873015873016,0.9,0.8983579638752053,0.8971717171717171,0.8138035745933652
GNB,0.8747490967482938,0.8890121899957967,0.88,0.8786291309669523,0.8780945926320376,0.7669379586322318
RF,0.8841830590124449,0.9021477079796264,0.89,0.8884808184143221,0.8876542213035333,0.790073375065862
SVM,0.8735447611401044,0.8947576147576148,0.88,0.8780295566502463,0.8770909090909091,0.7723041572250141
LGB,0.9253246753246753,0.9310789582472095,0.93,0.9296777493606138,0.9296673234436826,0.858525091277268
LDA,0.911525974025974,0.9251952461799661,0.92,0.919107069036792,0.9188353702372393,0.8417050946262346
LR,0.9431818181818181,0.9540983606557377,0.95,0.9495623519719905,0.9492452060383516,0.9020592437776189
GNB,0.9050324675324675,0.9108557255064076,0.91,0.9095856777493606,0.9096350816628943,0.817564924708696
RF,0.9342532467532467,0.9423333333333332,0.94,0.9396059113300492,0.9394757433489828,0.880010392008691
SVM,0.9342532467532467,0.9423333333333332,0.94,0.9396059113300492,0.9394757433489828,0.880010392008691
LGB,0.8757575757575757,0.8790865384615384,0.87,0.8702732459213292,0.8690813175501801,0.7483470518571648
LDA,0.8393939393939394,0.85,0.83,0.8298129812981299,0.8275070621468926,0.6803013430498075
LR,0.9272727272727272,0.9320754716981132,0.92,0.9201280512204881,0.9186317532269213,0.8517966080036466
GNB,0.8737373737373737,0.875,0.87,0.870325814536341,0.8696054750402576,0.7437279832918169
RF,0.8666666666666667,0.8714973906061823,0.86,0.8602240896358544,0.8587629197408819,0.7309743941024202
SVM,0.8848484848484848,0.8869147659063625,0.88,0.8802884615384616,0.8793511321392361,0.7659920289562161
LGB,0.8917567026810724,0.9033743842364532,0.89,0.8893035875791377,0.8879921259842518,0.7935803715542659
LDA,0.7937174869947978,0.8399448529411765,0.79,0.7830151374729688,0.7804121725731895,0.629525725211083
LR,0.8823529411764706,0.9036065573770492,0.88,0.8785454545454546,0.8763798818273526,0.7837550244071869
GNB,0.8721488595438175,0.8892500000000001,0.87,0.8687024901703801,0.8669569672131148,0.7594937342025391
RF,0.881952781112445,0.8962050434063663,0.88,0.8790338164251207,0.8775030012004802,0.7764345743979402
SVM,0.8525410164065625,0.8759337860780986,0.85,0.8478287276040085,0.8456899865462233,0.7261646993281851
LGB,0.9237012987012987,0.9234615384615384,0.92,0.9202576489533011,0.9197463768115942,0.8419530064884055
LDA,0.8189935064935066,0.8504244482173174,0.8,0.797832195905259,0.7928988389248829,0.6524459609232942
LR,0.9107142857142857,0.9185185185185185,0.9,0.9002000800320127,0.8979066022544283,0.8181150098318508
