model,accuracy,precision,recall,f1,f2,mcc
LGB,0.8716850265197879,0.8724396135265701,0.87,0.8704342544791983,0.8699834081592818,0.7384156987891303
LDA,0.9155446756425949,0.9202315006200911,0.92,0.9197372742200329,0.9198050089152804,0.8365683680256628
LR,0.9592003263973888,0.96,0.96,0.96,0.96,0.9184006527947777
GNB,0.8778049775601795,0.8959548611111111,0.89,0.8883084004602992,0.8882573761854584,0.7793420137151202
RF,0.8949408404732762,0.8954487179487179,0.89,0.8904990422421616,0.8896590909090909,0.7827289678710259
SVM,0.9302325581395349,0.9457142857142857,0.94,0.9392499999999999,0.9388694322497904,0.8823355697158679
LGB,0.842948717948718,0.8498701298701299,0.84,0.8394871794871795,0.8385048643113159,0.690336947848731
LDA,0.8782051282051282,0.8820779220779221,0.88,0.8796135265700482,0.8795069337442218,0.761306166786451
LR,0.9391025641025641,0.9406119162640902,0.94,0.9399277398635086,0.9398806850984669,0.8803238408819435
GNB,0.8886217948717949,0.8911515151515152,0.89,0.8897678625263792,0.8897145882466188,0.7805340218295159
RF,0.9006410256410255,0.9008000000000002,0.9,0.9000400160064026,0.8999295278365045,0.8006407690254356
SVM,0.9375,0.9462068965517241,0.94,0.9396363636363637,0.9390399074609601,0.8857103130373325
LGB,0.901010101010101,0.9010437575270975,0.9,0.9001610305958132,0.8999774087879814,0.7994403153131152
LDA,0.9222222222222223,0.9379032258064516,0.93,0.9291422098651014,0.9285493525928817,0.8655079102193866
LR,0.9505050505050505,0.9502818035426731,0.95,0.9500453674765601,0.9499951553517215,0.8993763551492221
GNB,0.8727272727272728,0.8842370744010088,0.88,0.8788177339901477,0.8787598108516551,0.7603464941995492
RF,0.8919191919191919,0.8920673076923077,0.89,0.8902321374736207,0.8898993808049537,0.7805340218295159
SVM,0.9444444444444444,0.9541666666666666,0.95,0.949616368286445,0.9492694805194805,0.90267093384844
LGB,0.8696969696969696,0.8704106280193236,0.87,0.8701179554390563,0.8700261611007042,0.7380532421179715
LDA,0.8656565656565656,0.8705665024630541,0.87,0.8694842844064694,0.8696043165467625,0.7371439937483032
LR,0.9777777777777779,0.980701754385965,0.98,0.9799512987012986,0.9798853831085785,0.9602225213190654
GNB,0.9282828282828283,0.9300324675324676,0.93,0.9299220568883491,0.9299462991718426,0.8584755043247572
RF,0.9191919191919191,0.92,0.92,0.92,0.92,0.8383838383838383
SVM,0.9333333333333333,0.9459016393442623,0.94,0.9394088669950739,0.9389411592648564,0.883980070492159
LGB,0.8713368125250903,0.8718,0.87,0.8701171053948553,0.8698585541086663,0.7413356072232964
LDA,0.8358089120835006,0.8438693675072344,0.84,0.8388311688311688,0.8388050081374177,0.6815396752881631
LR,0.9468085106382979,0.9543103448275864,0.95,0.9497216317441037,0.9493156199677938,0.9036487543102931
GNB,0.8948213568847851,0.9097519966372425,0.9,0.8988576091391269,0.8981539752464863,0.8080165852327799
RF,0.9008430349257326,0.9008803521408564,0.9,0.9000801282051282,0.8999454525035696,0.8004018302285945
SVM,0.8936170212765957,0.915873015873016,0.9,0.8983579638752053,0.8971717171717171,0.8138035745933652
LGB,0.9099025974025974,0.9103838383838382,0.91,0.9101002125721226,0.9100180022381161,0.8179813767622686
LDA,0.948051948051948,0.9500611995104039,0.95,0.949933882616214,0.9499504379336681,0.8984772018084171
LR,0.9569805194805194,0.9605582922824303,0.96,0.9598857609139128,0.9598607586700502,0.9191986809173013
GNB,0.9025974025974026,0.9131736023539303,0.91,0.909212233549583,0.9091309669522643,0.8194530859225256
RF,0.8717532467532467,0.8722761942994782,0.87,0.870353866317169,0.8699519191853783,0.7394660740767736
SVM,0.9545454545454546,0.9626666666666667,0.96,0.959737274220033,0.9595200834637455,0.9211323729436766
LGB,0.8606060606060606,0.8611401043757527,0.86,0.8602254428341385,0.8600071000952059,0.7188921727122976
LDA,0.8939393939393939,0.895,0.89,0.8902756892230577,0.8895732689210949,0.7839294959021854
LR,0.9434343434343434,0.9432973189275711,0.94,0.9401445202729828,0.9396944842810874,0.8825997394009945
GNB,0.8464646464646465,0.851304696908872,0.84,0.8402561024409764,0.838806641912202,0.6907003228020113
RF,0.9030303030303031,0.9033613445378151,0.9,0.9002408671216378,0.8997486263072239,0.8021806287494232
SVM,0.9272727272727272,0.9320754716981132,0.92,0.9201280512204881,0.9186317532269213,0.8517966080036466
LGB,0.8293317326930773,0.830990338164251,0.83,0.8297443609022557,0.8297184316740343,0.6606491903176109
LDA,0.9109643857543017,0.9143075684380031,0.91,0.9098648783905514,0.9094,0.8244067052930577
LR,0.9407763105242097,0.9429225210758732,0.94,0.939951980792317,0.9396198339173426,0.8829670665966918
GNB,0.9207683073229291,0.922826174227218,0.92,0.9199359743897559,0.919621113937823,0.8428868547675183
RF,0.8799519807923168,0.88,0.88,0.88,0.88,0.7599039615846338
SVM,0.9215686274509804,0.9312280701754386,0.92,0.9196146126053794,0.9184330543598278,0.8513531591427774
LGB,0.9188311688311688,0.92,0.92,0.92,0.92,0.8376623376623377
LDA,0.9326298701298701,0.932059413890004,0.93,0.9301905434015526,0.9298732414887246,0.8605576800937125
