model,accuracy,precision,recall,f1,f2,mcc
LGB,0.8370053039575683,0.8542534722222223,0.85,0.8476932733549535,0.848063751317176,0.6951798092102477
LR,0.9767441860465116,0.980677966101695,0.98,0.9799343185550081,0.9798776398226758,0.9597743132429917
RF,0.8429212566299469,0.8718498417005881,0.86,0.8564346349745331,0.856477883422902,0.7221072186826403
SVM,0.9186046511627908,0.93765625,0.93,0.9289235275656449,0.9284510010537409,0.8635042182199928
LGB,0.8990384615384616,0.9004830917874395,0.9,0.8998795664391811,0.8998652896273012,0.800002322553299
LR,0.9583333333333333,0.9628571428571427,0.96,0.9598711755233496,0.9595788392398561,0.9225998461903602
RF,0.8661858974358975,0.8816141235813367,0.87,0.8684528532194079,0.8676869598802684,0.7501647965299161
SVM,0.9286858974358975,0.9313939393939394,0.93,0.9298522761531504,0.9297396159214517,0.8610014467603938
LGB,0.9020202020202019,0.9171901528013584,0.91,0.9088971269694162,0.9084764786258052,0.8240960484864015
LR,0.9777777777777779,0.980701754385965,0.98,0.9799512987012986,0.9798853831085785,0.9602225213190654
RF,0.8242424242424242,0.8659186535764377,0.84,0.834295415959253,0.8337460437199691,0.6975607610400463
SVM,0.9555555555555555,0.9627118644067797,0.96,0.9597715218278253,0.9595355098201398,0.9215969109594601
LGB,0.8565656565656565,0.860016319869441,0.86,0.859659090909091,0.85978047951304,0.716614270667294
LR,0.9777777777777779,0.980701754385965,0.98,0.9799512987012986,0.9798853831085785,0.9602225213190654
RF,0.8525252525252525,0.8636822194199243,0.86,0.8586206896551724,0.8586993613805879,0.7191353021020127
SVM,0.9171717171717171,0.920359037127703,0.92,0.9198051948051948,0.9198329313108092,0.8384183959931797
LGB,0.8665194700923324,0.8729967159277504,0.87,0.8692762425346694,0.8691867954911433,0.7412680257729538
LR,0.9468085106382979,0.9543103448275864,0.95,0.9497216317441037,0.9493156199677938,0.9036487543102931
RF,0.8641107988759534,0.8812308998302208,0.87,0.8682046035805626,0.8675844583683223,0.7487947243309685
SVM,0.8841830590124449,0.9021477079796264,0.89,0.8884808184143221,0.8876542213035333,0.790073375065862
LGB,0.9188311688311688,0.92,0.92,0.92,0.92,0.8376623376623377
LR,0.9659090909090908,0.9715254237288136,0.97,0.9698618925831203,0.9697318070052597,0.9404454244144118
RF,0.8823051948051948,0.8927112232030265,0.89,0.8890371743383791,0.8890738474092208,0.7781500069949789
SVM,0.9569805194805194,0.9605582922824303,0.96,0.9598857609139128,0.9598607586700502,0.9191986809173013
LGB,0.8828282828282827,0.8833933573429371,0.88,0.8802890405459656,0.8797756973202919,0.7619710734236376
LR,0.9545454545454546,0.955,0.95,0.9501253132832079,0.9494766505636071,0.9045340337332908
RF,0.8191919191919192,0.8294642857142857,0.81,0.8097909790979098,0.8075564971751413,0.639807215487319
SVM,0.9030303030303031,0.9033613445378151,0.9,0.9002408671216378,0.8997486263072239,0.8021806287494232
LGB,0.9015606242496998,0.9107711138310893,0.9,0.8995182657567241,0.8984253732537485,0.8109472189841264
LR,0.9509803921568627,0.9546296296296296,0.95,0.9499249324391953,0.9494,0.9046799969476884
RF,0.8917567026810724,0.9033743842364532,0.89,0.8893035875791377,0.8879921259842518,0.7935803715542659
SVM,0.9015606242496998,0.9107711138310893,0.9,0.8995182657567241,0.8984253732537485,0.8109472189841264
LGB,0.8587662337662337,0.8646326776395022,0.85,0.8504053648283455,0.8484990090075573,0.7136331981264933
LR,0.9642857142857143,0.9633333333333333,0.96,0.9601288244766505,0.959679089026915,0.9225998461903602
RF,0.8522727272727273,0.8645454545454545,0.84,0.84,0.8370818322182193,0.7045454545454546
SVM,0.9172077922077921,0.9195518207282913,0.91,0.9103157894736842,0.9090477804134192,0.8285517339392285
LGB,0.8669871794871795,0.8767424555601488,0.87,0.8689867395485373,0.86856986706531,0.7455645407000849
LR,0.96875,0.9716363636363635,0.97,0.9699366897799218,0.9697646435962843,0.9414688716912717
RF,0.875,0.9025,0.88,0.8776354679802956,0.8760061919504645,0.7806247497997998
SVM,0.9166666666666667,0.9306666666666666,0.92,0.9192207792207792,0.9182707153885744,0.8498365855987975
LGB,0.9210950080515299,0.9209294871794873,0.92,0.9200963468486552,0.9199498198661863,0.8401630817176212
LR,0.9907407407407407,0.9902127659574468,0.99,0.9900070344688976,0.9899789182317064,0.9801014726900014
RF,0.9319645732689211,0.9318847539015607,0.93,0.9301052631578947,0.9298403819260259,0.8613324194541878
SVM,0.9537037037037037,0.9549019607843138,0.95,0.9500750675608047,0.9494580489763148,0.9046799969476884
LGB,0.8743961352657005,0.8845000000000001,0.88,0.8789718482252141,0.8788237577639751,0.7617834401336351
LR,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
RF,0.8804347826086957,0.9086153846153846,0.89,0.8876148978109762,0.886441118640212,0.7950515853775597
SVM,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
LGB,0.868547418967587,0.8770689655172412,0.87,0.8691743119266055,0.8686461607543781,0.7465653955071285
LR,0.9591836734693877,0.9629090909090908,0.96,0.9599036531513448,0.9595924317916018,0.9228092947267801
RF,0.858343337334934,0.8690615957007028,0.86,0.858868686868687,0.8582262437631356,0.728441237688167
SVM,0.8783513405362144,0.8896568830095081,0.88,0.879030303030303,0.8782596139962459,0.7691135569337375
LGB,0.9625,0.9714285714285714,0.97,0.969781438074121,0.9696939237070916,0.9385906354489059
LR,0.9625,0.9714285714285714,0.97,0.969781438074121,0.9696939237070916,0.9385906354489059
RF,0.9,0.9294117647058823,0.92,0.9180555555555556,0.9177489177489179,0.840168050416806
SVM,0.95,0.9625,0.96,0.9595925297113752,0.9594522019334051,0.9185586535436917
LGB,0.9058441558441559,0.9072,0.9,0.9003613006824568,0.8993605064272334,0.8058229640253803
LR,1.0,1.0,1.0,1.0,1.0,1.0
RF,0.9261363636363636,0.9272,0.92,0.9202890405459655,0.9193139978037596,0.8461141122266493
SVM,0.9821428571428572,0.9808695652173912,0.98,0.980040404040404,0.9799209281223669,0.9603958811069554
LGB,0.8616584564860428,0.8700882723833543,0.87,0.8692312480547776,0.8695009150714745,0.7319308306960565
LR,0.9642857142857143,0.9714754098360655,0.97,0.9698225957049487,0.9697136073601424,0.9396297043328489
RF,0.8345648604269293,0.8538461538461539,0.85,0.8474501108647451,0.8479623824451411,0.6924019175168469
