model,fold,Metric
LogisticRegression(),0,fbeta_score
LightGBM(),1,fbeta_score
RandomForest(),2,fbeta_score
SupportVectorMachine(),3,fbeta_score
LightGBM(),4,fbeta_score
LightGBM(),5,fbeta_score
SupportVectorMachine(),6,fbeta_score
LightGBM(),7,fbeta_score
SupportVectorMachine(),8,fbeta_score
LogisticRegression(),9,fbeta_score
LogisticRegression(),10,fbeta_score
SupportVectorMachine(),11,fbeta_score
SupportVectorMachine(),12,fbeta_score
SupportVectorMachine(),13,fbeta_score
SupportVectorMachine(),14,fbeta_score
SupportVectorMachine(),15,fbeta_score
LogisticRegression(),16,fbeta_score
LightGBM(),17,fbeta_score
SupportVectorMachine(),18,fbeta_score
SupportVectorMachine(),19,fbeta_score
SupportVectorMachine(),20,fbeta_score
LogisticRegression(),21,fbeta_score
LogisticRegression(),22,fbeta_score
LogisticRegression(),23,fbeta_score
SupportVectorMachine(),24,fbeta_score
RandomForest(),25,fbeta_score
LightGBM(),26,fbeta_score
LightGBM(),27,fbeta_score
LightGBM(),28,fbeta_score
SupportVectorMachine(),29,fbeta_score
LogisticRegression(),30,fbeta_score
LogisticRegression(),31,fbeta_score
SupportVectorMachine(),32,fbeta_score
LogisticRegression(),33,fbeta_score
LightGBM(),34,fbeta_score
LinearDiscriminantAnalysis(),35,fbeta_score
SupportVectorMachine(),36,fbeta_score
LogisticRegression(),37,fbeta_score
LogisticRegression(),38,fbeta_score
SupportVectorMachine(),39,fbeta_score
SupportVectorMachine(),40,fbeta_score
LightGBM(),41,fbeta_score
SupportVectorMachine(),42,fbeta_score
SupportVectorMachine(),43,fbeta_score
LightGBM(),44,fbeta_score
SupportVectorMachine(),45,fbeta_score
LogisticRegression(),46,fbeta_score
LightGBM(),47,fbeta_score
LogisticRegression(),48,fbeta_score
LinearDiscriminantAnalysis(),49,fbeta_score
