model,fold,accuracy,precision,recall,f1,f2,mcc
LogisticRegression(),0,0.9655172413793103,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
LightGBM(),1,0.9461038961038961,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8922077922077922
LogisticRegression(),2,0.9636243386243386,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
LightGBM(),3,0.9457671957671958,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
LightGBM(),4,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LightGBM(),5,0.9562579821200511,0.9638632451885464,0.963855421686747,0.9637041648001956,0.9637581692081981,0.9201867797761193
LogisticRegression(),6,0.9821428571428572,0.9881669535283992,0.9879518072289156,0.9878965493423325,0.9878911956867192,0.9731733281027651
LightGBM(),7,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
SupportVectorMachine(),8,0.9371693121693122,0.9515880461002413,0.9512195121951219,0.9507596288084094,0.9508855238808142,0.890994189963783
LogisticRegression(),9,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LogisticRegression(),10,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression(),11,0.9464285714285714,0.9657249688408809,0.963855421686747,0.9633122572105084,0.9633002418749198,0.9201493774639478
LightGBM(),12,0.9550264550264551,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
LogisticRegression(),13,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LightGBM(),14,0.9550264550264551,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
LightGBM(),15,0.9390166028097062,0.9522056479887805,0.9518072289156626,0.9513847598184949,0.9514931383287158,0.8935748228911529
LogisticRegression(),16,0.9642857142857143,0.9767491016698373,0.9759036144578314,0.9756725313954229,0.9756590322993434,0.9465674698284022
SupportVectorMachine(),17,0.9550264550264551,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
RandomForest(),18,0.9365079365079365,0.9398257613025058,0.9390243902439024,0.939274331257823,0.9390877306700774,0.8658867656593533
SupportVectorMachine(),19,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LogisticRegression(),20,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression(),21,0.9285714285714286,0.955074535429855,0.9518072289156626,0.9507991480090402,0.9508114685179682,0.8938856062145641
LightGBM(),22,0.9285714285714286,0.9545836837678723,0.9512195121951219,0.9502144197266149,0.9502141607933898,0.8933250005738372
RandomForest(),23,0.9279100529100529,0.938786236347212,0.9390243902439024,0.9387497711507556,0.9388777341010819,0.8635652420207802
LogisticRegression(),24,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LogisticRegression(),25,0.9827586206896552,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
LightGBM(),26,0.9370129870129871,0.9405591715521088,0.9397590361445783,0.9400111309554975,0.9398239019129787,0.8667399619164846
SupportVectorMachine(),27,0.9457671957671958,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
LightGBM(),28,0.9642857142857143,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
SupportVectorMachine(),29,0.9279100529100529,0.938786236347212,0.9390243902439024,0.9387497711507556,0.9388777341010819,0.8635652420207802
LogisticRegression(),30,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest(),31,0.9461038961038961,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8922077922077922
RandomForest(),32,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
SupportVectorMachine(),33,0.9186507936507937,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.8373015873015873
LogisticRegression(),34,0.9464285714285714,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LinearDiscriminantAnalysis(),35,0.9482758620689655,0.9657577679137603,0.963855421686747,0.9633581007074983,0.9633239660390519,0.9216098910540003
LightGBM(),36,0.8925324675324675,0.9158869962609058,0.9156626506024096,0.9143952668245197,0.914839845650522,0.8090622526210275
RandomForest(),37,0.9636243386243386,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
LightGBM(),38,1.0,1.0,1.0,1.0,1.0,1.0
SupportVectorMachine(),39,0.9014550264550265,0.9290019624334175,0.926829268292683,0.9253216295899223,0.925643267810952,0.8368028940560481
SupportVectorMachine(),40,0.9217752234993615,0.9409053216916249,0.9397590361445783,0.9389301678458304,0.939105438935746,0.8671272550443976
RandomForest(),41,0.9373376623376624,0.9521486756743573,0.9518072289156626,0.951345062790846,0.9514750258292628,0.8916268404607398
LogisticRegression(),42,0.9464285714285714,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
SupportVectorMachine(),43,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
SupportVectorMachine(),44,0.9814814814814814,0.9772357723577235,0.975609756097561,0.9758001809035657,0.9755328476135299,0.9480324003422907
SupportVectorMachine(),45,0.9457215836526182,0.9435683912119064,0.9397590361445783,0.9403797861234163,0.9396895203041135,0.8732316379986372
LightGBM(),46,0.9103896103896103,0.9275482496788774,0.927710843373494,0.9270175941862687,0.9272910193591821,0.8366862110930773
SupportVectorMachine(),47,0.9907407407407407,0.9882253994953744,0.9878048780487805,0.9878548662515645,0.9877859080734286,0.9734666365443033
SupportVectorMachine(),48,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LogisticRegression(),49,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
