model,fold,Metric
SupportVectorMachine(),0,fbeta_score
LogisticRegression(),1,fbeta_score
SupportVectorMachine(),2,fbeta_score
LightGBM(),3,fbeta_score
LightGBM(),4,fbeta_score
LightGBM(),5,fbeta_score
RandomForest(),6,fbeta_score
LogisticRegression(),7,fbeta_score
SupportVectorMachine(),8,fbeta_score
LogisticRegression(),9,fbeta_score
SupportVectorMachine(),10,fbeta_score
RandomForest(),11,fbeta_score
LightGBM(),12,fbeta_score
SupportVectorMachine(),13,fbeta_score
LogisticRegression(),14,fbeta_score
LogisticRegression(),15,fbeta_score
LightGBM(),16,fbeta_score
SupportVectorMachine(),17,fbeta_score
SupportVectorMachine(),18,fbeta_score
LogisticRegression(),19,fbeta_score
LightGBM(),20,fbeta_score
LogisticRegression(),21,fbeta_score
LightGBM(),22,fbeta_score
LinearDiscriminantAnalysis(),23,fbeta_score
LightGBM(),24,fbeta_score
RandomForest(),25,fbeta_score
LogisticRegression(),26,fbeta_score
LogisticRegression(),27,fbeta_score
LightGBM(),28,fbeta_score
LogisticRegression(),29,fbeta_score
LightGBM(),30,fbeta_score
LogisticRegression(),31,fbeta_score
SupportVectorMachine(),32,fbeta_score
SupportVectorMachine(),33,fbeta_score
LogisticRegression(),34,fbeta_score
LogisticRegression(),35,fbeta_score
RandomForest(),36,fbeta_score
LogisticRegression(),37,fbeta_score
LightGBM(),38,fbeta_score
RandomForest(),39,fbeta_score
SupportVectorMachine(),40,fbeta_score
LinearDiscriminantAnalysis(),41,fbeta_score
LinearDiscriminantAnalysis(),42,fbeta_score
LightGBM(),43,fbeta_score
LightGBM(),44,fbeta_score
LogisticRegression(),45,fbeta_score
SupportVectorMachine(),46,fbeta_score
LogisticRegression(),47,fbeta_score
LightGBM(),48,fbeta_score
SupportVectorMachine(),49,fbeta_score
