model,fold,Metric
LogisticRegression(),0,fbeta_score
RandomForest(),1,fbeta_score
RandomForest(),2,fbeta_score
LightGBM(),3,fbeta_score
SupportVectorMachine(),4,fbeta_score
SupportVectorMachine(),5,fbeta_score
LightGBM(),6,fbeta_score
LightGBM(),7,fbeta_score
LogisticRegression(),8,fbeta_score
LogisticRegression(),9,fbeta_score
LogisticRegression(),10,fbeta_score
LightGBM(),11,fbeta_score
LightGBM(),12,fbeta_score
LogisticRegression(),13,fbeta_score
RandomForest(),14,fbeta_score
LightGBM(),15,fbeta_score
LogisticRegression(),16,fbeta_score
LogisticRegression(),17,fbeta_score
SupportVectorMachine(),18,fbeta_score
SupportVectorMachine(),19,fbeta_score
LogisticRegression(),20,fbeta_score
LogisticRegression(),21,fbeta_score
SupportVectorMachine(),22,fbeta_score
LightGBM(),23,fbeta_score
LogisticRegression(),24,fbeta_score
LightGBM(),25,fbeta_score
LightGBM(),26,fbeta_score
RandomForest(),27,fbeta_score
LightGBM(),28,fbeta_score
LogisticRegression(),29,fbeta_score
LogisticRegression(),30,fbeta_score
RandomForest(),31,fbeta_score
RandomForest(),32,fbeta_score
LogisticRegression(),33,fbeta_score
LogisticRegression(),34,fbeta_score
LightGBM(),35,fbeta_score
LightGBM(),36,fbeta_score
RandomForest(),37,fbeta_score
LogisticRegression(),38,fbeta_score
LogisticRegression(),39,fbeta_score
SupportVectorMachine(),40,fbeta_score
RandomForest(),41,fbeta_score
LogisticRegression(),42,fbeta_score
SupportVectorMachine(),43,fbeta_score
SupportVectorMachine(),44,fbeta_score
LogisticRegression(),45,fbeta_score
RandomForest(),46,fbeta_score
LogisticRegression(),47,fbeta_score
LogisticRegression(),48,fbeta_score
RandomForest(),49,fbeta_score
