model,fold,Metric
GaussianNB(),0,fbeta_score
LinearDiscriminantAnalysis(),1,fbeta_score
LogisticRegression(),2,fbeta_score
SupportVectorMachine(),3,fbeta_score
RandomForest(),4,fbeta_score
LightGBM(),5,fbeta_score
SupportVectorMachine(),6,fbeta_score
RandomForest(),7,fbeta_score
LightGBM(),8,fbeta_score
RandomForest(),9,fbeta_score
GaussianNB(),10,fbeta_score
SupportVectorMachine(),11,fbeta_score
SupportVectorMachine(),12,fbeta_score
SupportVectorMachine(),13,fbeta_score
SupportVectorMachine(),14,fbeta_score
SupportVectorMachine(),15,fbeta_score
SupportVectorMachine(),16,fbeta_score
LightGBM(),17,fbeta_score
RandomForest(),18,fbeta_score
SupportVectorMachine(),19,fbeta_score
RandomForest(),20,fbeta_score
SupportVectorMachine(),21,fbeta_score
GaussianNB(),22,fbeta_score
LightGBM(),23,fbeta_score
LogisticRegression(),24,fbeta_score
LightGBM(),25,fbeta_score
LightGBM(),26,fbeta_score
LightGBM(),27,fbeta_score
RandomForest(),28,fbeta_score
LightGBM(),29,fbeta_score
RandomForest(),30,fbeta_score
SupportVectorMachine(),31,fbeta_score
LinearDiscriminantAnalysis(),32,fbeta_score
SupportVectorMachine(),33,fbeta_score
LightGBM(),34,fbeta_score
RandomForest(),35,fbeta_score
LogisticRegression(),36,fbeta_score
RandomForest(),37,fbeta_score
LogisticRegression(),38,fbeta_score
SupportVectorMachine(),39,fbeta_score
GaussianNB(),40,fbeta_score
SupportVectorMachine(),41,fbeta_score
RandomForest(),42,fbeta_score
SupportVectorMachine(),43,fbeta_score
RandomForest(),44,fbeta_score
LogisticRegression(),45,fbeta_score
LightGBM(),46,fbeta_score
LightGBM(),47,fbeta_score
SupportVectorMachine(),48,fbeta_score
LogisticRegression(),49,fbeta_score
