model,fold,Metric
LinearDiscriminantAnalysis(),0,fbeta_score
LightGBM(),1,fbeta_score
SupportVectorMachine(),2,fbeta_score
RandomForest(),3,fbeta_score
SupportVectorMachine(),4,fbeta_score
SupportVectorMachine(),5,fbeta_score
LogisticRegression(),6,fbeta_score
SupportVectorMachine(),7,fbeta_score
SupportVectorMachine(),8,fbeta_score
LogisticRegression(),9,fbeta_score
SupportVectorMachine(),10,fbeta_score
LightGBM(),11,fbeta_score
LogisticRegression(),12,fbeta_score
LightGBM(),13,fbeta_score
LogisticRegression(),14,fbeta_score
LogisticRegression(),15,fbeta_score
SupportVectorMachine(),16,fbeta_score
LightGBM(),17,fbeta_score
SupportVectorMachine(),18,fbeta_score
SupportVectorMachine(),19,fbeta_score
SupportVectorMachine(),20,fbeta_score
SupportVectorMachine(),21,fbeta_score
LightGBM(),22,fbeta_score
LightGBM(),23,fbeta_score
LogisticRegression(),24,fbeta_score
LinearDiscriminantAnalysis(),25,fbeta_score
SupportVectorMachine(),26,fbeta_score
SupportVectorMachine(),27,fbeta_score
SupportVectorMachine(),28,fbeta_score
RandomForest(),29,fbeta_score
SupportVectorMachine(),30,fbeta_score
LogisticRegression(),31,fbeta_score
LightGBM(),32,fbeta_score
GaussianNB(),33,fbeta_score
LogisticRegression(),34,fbeta_score
SupportVectorMachine(),35,fbeta_score
LightGBM(),36,fbeta_score
SupportVectorMachine(),37,fbeta_score
SupportVectorMachine(),38,fbeta_score
LightGBM(),39,fbeta_score
SupportVectorMachine(),40,fbeta_score
SupportVectorMachine(),41,fbeta_score
GaussianNB(),42,fbeta_score
SupportVectorMachine(),43,fbeta_score
LightGBM(),44,fbeta_score
LogisticRegression(),45,fbeta_score
SupportVectorMachine(),46,fbeta_score
LogisticRegression(),47,fbeta_score
LogisticRegression(),48,fbeta_score
SupportVectorMachine(),49,fbeta_score
