model,fold,Metric
LogisticRegression(),0,fbeta_score
LightGBM(),1,fbeta_score
LogisticRegression(),2,fbeta_score
SupportVectorMachine(),3,fbeta_score
RandomForest(),4,fbeta_score
SupportVectorMachine(),5,fbeta_score
SupportVectorMachine(),6,fbeta_score
LightGBM(),7,fbeta_score
LogisticRegression(),8,fbeta_score
SupportVectorMachine(),9,fbeta_score
SupportVectorMachine(),10,fbeta_score
SupportVectorMachine(),11,fbeta_score
LogisticRegression(),12,fbeta_score
SupportVectorMachine(),13,fbeta_score
SupportVectorMachine(),14,fbeta_score
SupportVectorMachine(),15,fbeta_score
LightGBM(),16,fbeta_score
RandomForest(),17,fbeta_score
SupportVectorMachine(),18,fbeta_score
SupportVectorMachine(),19,fbeta_score
SupportVectorMachine(),20,fbeta_score
LogisticRegression(),21,fbeta_score
LogisticRegression(),22,fbeta_score
LightGBM(),23,fbeta_score
LightGBM(),24,fbeta_score
LightGBM(),25,fbeta_score
LightGBM(),26,fbeta_score
LightGBM(),27,fbeta_score
LightGBM(),28,fbeta_score
LightGBM(),29,fbeta_score
RandomForest(),30,fbeta_score
LogisticRegression(),31,fbeta_score
LogisticRegression(),32,fbeta_score
SupportVectorMachine(),33,fbeta_score
LightGBM(),34,fbeta_score
SupportVectorMachine(),35,fbeta_score
SupportVectorMachine(),36,fbeta_score
LogisticRegression(),37,fbeta_score
SupportVectorMachine(),38,fbeta_score
LogisticRegression(),39,fbeta_score
LogisticRegression(),40,fbeta_score
SupportVectorMachine(),41,fbeta_score
LogisticRegression(),42,fbeta_score
LightGBM(),43,fbeta_score
LightGBM(),44,fbeta_score
SupportVectorMachine(),45,fbeta_score
LogisticRegression(),46,fbeta_score
LightGBM(),47,fbeta_score
LogisticRegression(),48,fbeta_score
RandomForest(),49,fbeta_score
