model,fold,accuracy,precision,recall,f1,f2,mcc
LGB,0,0.9518072289156626,0.9522056479887805,0.9518072289156626,0.9513847598184949,0.9514931383287158,0.8935748228911529
LDA,0,0.9397590361445783,0.9448642025730039,0.9397590361445783,0.9382502459328045,0.9382569237990923,0.8703170586535028
LR,0,0.9518072289156626,0.9551308683007894,0.9518072289156626,0.9508828966660291,0.9508542010876243,0.8958883487425228
GNB,0,0.9397590361445783,0.9409053216916249,0.9397590361445783,0.9389301678458304,0.939105438935746,0.8671272550443976
RF,0,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8939974457215837
LGB,1,0.9397590361445783,0.9437277646566415,0.9397590361445783,0.9404460865798057,0.9397116437779087,0.8714202705941148
LDA,1,0.963855421686747,0.9657249688408809,0.963855421686747,0.9633122572105084,0.9633002418749198,0.9201493774639478
LR,1,1.0,1.0,1.0,1.0,1.0,1.0
GNB,1,0.891566265060241,0.8909680099709182,0.891566265060241,0.8899367716315252,0.8906096475383233,0.7535186901995674
RF,1,0.927710843373494,0.9275482496788774,0.927710843373494,0.9270175941862687,0.9272910193591821,0.8366862110930773
LGB,2,0.9634146341463414,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
LDA,2,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,2,0.9634146341463414,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
GNB,2,0.9024390243902439,0.9050969355847406,0.9024390243902439,0.9032007236142628,0.9026043776309112,0.7878565964383049
RF,2,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
LGB,3,0.9634146341463414,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
LDA,3,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LR,3,0.9634146341463414,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
GNB,3,0.9024390243902439,0.9050969355847406,0.9024390243902439,0.9032007236142628,0.9026043776309112,0.7878565964383049
RF,3,0.926829268292683,0.9291432145090681,0.926829268292683,0.9274005427106972,0.9269138676251174,0.8412485310729668
LGB,4,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LDA,4,0.975609756097561,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
LR,4,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
GNB,4,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
RF,4,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
LGB,5,0.963855421686747,0.9657577679137603,0.963855421686747,0.9633581007074983,0.9633239660390519,0.9216098910540003
LDA,5,0.963855421686747,0.9657577679137603,0.963855421686747,0.9633581007074983,0.9633239660390519,0.9216098910540003
LR,5,0.9879518072289156,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
GNB,5,0.9518072289156626,0.9522056479887805,0.9518072289156626,0.9513847598184949,0.9514931383287158,0.8935748228911529
RF,5,0.9397590361445783,0.9405092066378724,0.9397590361445783,0.9399880529563206,0.9398151755568386,0.8688464155612236
LGB,6,0.9036144578313253,0.9036144578313253,0.9036144578313253,0.9036144578313253,0.9036144578313253,0.7844155844155845
LDA,6,0.963855421686747,0.9638394849238222,0.963855421686747,0.9636896480269974,0.9637517853710746,0.9187804754209271
LR,6,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9461038961038961
GNB,6,0.891566265060241,0.892751080952161,0.891566265060241,0.8920200357198956,0.8917140841670766,0.7598463261972154
RF,6,0.927710843373494,0.9300143972114875,0.927710843373494,0.9282878641000786,0.9278003516931057,0.8422799984866612
LGB,7,0.9390243902439024,0.938786236347212,0.9390243902439024,0.9387497711507556,0.9388777341010819,0.8635652420207802
LDA,7,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LR,7,0.975609756097561,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
GNB,7,0.9024390243902439,0.901802465826856,0.9024390243902439,0.9015192576168186,0.9019308943089432,0.7804623842496677
RF,7,0.9024390243902439,0.9096341463414634,0.9024390243902439,0.9038148843026893,0.9024339303543412,0.7946622523047733
LGB,8,0.9878048780487805,0.9882253994953744,0.9878048780487805,0.9878548662515645,0.9877859080734286,0.9734666365443033
LDA,8,0.9390243902439024,0.9441918147995039,0.9390243902439024,0.9373844076806204,0.9374394350004105,0.8670732267977947
LR,8,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
GNB,8,0.8780487804878049,0.8810506566604127,0.8780487804878049,0.8790009045178286,0.8782948876367048,0.7344646618036428
RF,8,0.9390243902439024,0.9398257613025058,0.9390243902439024,0.939274331257823,0.9390877306700774,0.8658867656593533
LGB,9,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LDA,9,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LR,9,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
GNB,9,0.975609756097561,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
RF,9,0.9634146341463414,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
LGB,10,0.9879518072289156,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
LDA,10,0.9879518072289156,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
LR,10,1.0,1.0,1.0,1.0,1.0,1.0
GNB,10,0.9759036144578314,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
RF,10,0.9759036144578314,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
LGB,11,0.9518072289156626,0.953762218686065,0.9518072289156626,0.9521919094000523,0.9518153095278498,0.8953219103792204
LDA,11,0.9397590361445783,0.9447791164658633,0.9397590361445783,0.938115633891063,0.9381892649964938,0.867742006863901
LR,11,0.9759036144578314,0.9767491016698373,0.9759036144578314,0.9756725313954229,0.9756590322993434,0.9465674698284022
GNB,11,0.8795180722891566,0.8783473976879176,0.8795180722891566,0.8783626569771148,0.878923006419021,0.7268049523577522
RF,11,0.927710843373494,0.9300143972114875,0.927710843373494,0.9282878641000786,0.9278003516931057,0.8422799984866612
LGB,12,0.926829268292683,0.9266952559635487,0.926829268292683,0.926139443212614,0.9264082090948786,0.8357282871067254
LDA,12,0.9512195121951219,0.9545836837678723,0.9512195121951219,0.9502144197266149,0.9502141607933898,0.8933250005738372
LR,12,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
GNB,12,0.926829268292683,0.9266952559635487,0.926829268292683,0.926139443212614,0.9264082090948786,0.8357282871067254
RF,12,0.9146341463414634,0.9156259422060713,0.9146341463414634,0.9149840637609524,0.9147386419684017,0.8120968302168784
LGB,13,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
LDA,13,0.9512195121951219,0.9515880461002413,0.9512195121951219,0.9507596288084094,0.9508855238808142,0.890994189963783
LR,13,1.0,1.0,1.0,1.0,1.0,1.0
GNB,13,0.9390243902439024,0.9430277224973388,0.9390243902439024,0.93970353747121,0.9389678559314074,0.8705690621194779
RF,13,0.926829268292683,0.9291432145090681,0.926829268292683,0.9274005427106972,0.9269138676251174,0.8412485310729668
LGB,14,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.8373015873015873
LDA,14,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LR,14,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
GNB,14,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.783068783068783
RF,14,0.9146341463414634,0.9156259422060713,0.9146341463414634,0.9149840637609524,0.9147386419684017,0.8120968302168784
LGB,15,0.963855421686747,0.9657577679137603,0.963855421686747,0.9633581007074983,0.9633239660390519,0.9216098910540003
LDA,15,0.9397590361445783,0.9448642025730039,0.9397590361445783,0.9382502459328045,0.9382569237990923,0.8703170586535028
LR,15,0.9759036144578314,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
GNB,15,0.927710843373494,0.9349397590361445,0.927710843373494,0.9254426613335934,0.9255288278544268,0.844862771962569
RF,15,0.9397590361445783,0.9448642025730039,0.9397590361445783,0.9382502459328045,0.9382569237990923,0.8703170586535028
LGB,16,0.963855421686747,0.9638394849238222,0.963855421686747,0.9636896480269974,0.9637517853710746,0.9187804754209271
LDA,16,0.9759036144578314,0.9767491016698373,0.9759036144578314,0.9756725313954229,0.9756590322993434,0.9465674698284022
LR,16,0.9879518072289156,0.9881669535283992,0.9879518072289156,0.9878965493423325,0.9878911956867192,0.9731733281027651
GNB,16,0.963855421686747,0.9638394849238222,0.963855421686747,0.9636896480269974,0.9637517853710746,0.9187804754209271
RF,16,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8922077922077922
LGB,17,0.9634146341463414,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
LDA,17,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LR,17,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
GNB,17,0.9024390243902439,0.9096341463414634,0.9024390243902439,0.9038148843026893,0.9024339303543412,0.7946622523047733
RF,17,0.9146341463414634,0.9191002915721758,0.9146341463414634,0.9155849524596941,0.9146964299060765,0.8175329082607875
LGB,18,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
LDA,18,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
