model,fold,accuracy,precision,recall,f1,f2,mcc
LGB,0,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
LDA,0,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
LR,0,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
GNB,0,0.9827586206896552,0.9830611010284331,0.9824561403508771,0.9824561403508771,0.9823835593712413,0.9655172413793104
RF,0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,0,1.0,1.0,1.0,1.0,1.0,1.0
LGB,1,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
LDA,1,0.9310344827586207,0.9385964912280702,0.9298245614035088,0.92956465237167,0.9286217908838289,0.868510417224564
LR,1,0.9304187192118227,0.9320337881741391,0.9298245614035088,0.9297813499265406,0.9295325381315002,0.8618995454758728
GNB,1,0.8768472906403941,0.8775828460038986,0.8771929824561403,0.8771172924607357,0.8770978891003995,0.7546244947514079
RF,1,0.9113300492610837,0.9167543859649122,0.9122807017543859,0.9119551120299978,0.9115435066261036,0.8288070838657268
SVM,1,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
LGB,2,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LDA,2,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,2,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
GNB,2,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
RF,2,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
SVM,2,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LGB,3,0.9107142857142857,0.9154838709677419,0.9107142857142857,0.9104573073233132,0.9099841764075342,0.8261843893231645
LDA,3,0.9285714285714286,0.9307692307692308,0.9285714285714286,0.9284802043422733,0.928250663400694,0.8593378488473195
LR,3,0.9285714285714286,0.9307692307692308,0.9285714285714286,0.9284802043422733,0.928250663400694,0.8593378488473195
GNB,3,0.9107142857142858,0.9112388250319287,0.9107142857142857,0.9106858054226475,0.9106331955712026,0.8219529433756427
RF,3,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.7857142857142857
SVM,3,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LGB,4,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LDA,4,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LR,4,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,4,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
RF,4,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
SVM,4,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LGB,5,0.9107142857142857,0.9251805985552115,0.9122807017543859,0.9114616606876668,0.9102664067576348,0.837036589463591
LDA,5,0.9113300492610837,0.9167543859649122,0.9122807017543859,0.9119551120299978,0.9115435066261036,0.8288070838657268
LR,5,0.9464285714285714,0.9523026315789473,0.9473684210526315,0.9471730672179985,0.9466597792567828,0.8995286464111556
GNB,5,0.8928571428571428,0.912781954887218,0.8947368421052632,0.8933552631578947,0.8918027499310697,0.8068583569395964
RF,5,0.9107142857142857,0.9251805985552115,0.9122807017543859,0.9114616606876668,0.9102664067576348,0.837036589463591
SVM,5,0.9470443349753694,0.9478882391163093,0.9473684210526315,0.9473359824831725,0.9472854304876214,0.8951918025972584
LGB,6,0.9291871921182266,0.9318706194767316,0.9298245614035088,0.9296946068875893,0.9294976571864443,0.8615634022204445
LDA,6,0.9482758620689655,0.9524617996604414,0.9473684210526315,0.9472711053442544,0.9466997050392159,0.8998825779289579
LR,6,0.9827586206896552,0.9830611010284331,0.9824561403508771,0.9824561403508771,0.9823835593712413,0.9655172413793104
GNB,6,0.9291871921182266,0.9318706194767316,0.9298245614035088,0.9296946068875893,0.9294976571864443,0.8615634022204445
RF,6,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
SVM,6,0.9827586206896552,0.9830611010284331,0.9824561403508771,0.9824561403508771,0.9823835593712413,0.9655172413793104
LGB,7,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LDA,7,1.0,1.0,1.0,1.0,1.0,1.0
LR,7,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,7,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
RF,7,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
SVM,7,0.9464285714285714,0.9516129032258064,0.9464285714285714,0.9462743843939878,0.9457148690725334,0.8980265101338745
LGB,8,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LDA,8,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,8,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
GNB,8,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
RF,8,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
SVM,8,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LGB,9,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571
LDA,9,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LR,9,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,9,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571
RF,9,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
SVM,9,1.0,1.0,1.0,1.0,1.0,1.0
LGB,10,0.9125615763546798,0.9128424509549737,0.9122807017543859,0.9122807017543859,0.9122133051304384,0.8251231527093597
LDA,10,0.9113300492610837,0.9167543859649122,0.9122807017543859,0.9119551120299978,0.9115435066261036,0.8288070838657268
LR,10,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
GNB,10,0.8780788177339902,0.8816333638065388,0.8771929824561403,0.8769659124699266,0.8765190825976593,0.7589668995170057
RF,10,0.9304187192118227,0.9320337881741391,0.9298245614035088,0.9297813499265406,0.9295325381315002,0.8618995454758728
SVM,10,0.9476600985221675,0.9479517759917033,0.9473684210526315,0.9473684210526315,0.9472984322508399,0.895320197044335
LGB,11,0.9476600985221675,0.9479517759917033,0.9473684210526315,0.9473684210526315,0.9472984322508399,0.895320197044335
LDA,11,0.9137931034482758,0.9255715045188729,0.9122807017543859,0.9117380522137387,0.9103793967677815,0.8379703797669529
LR,11,0.9655172413793103,0.9672514619883041,0.9649122807017544,0.9648906749632703,0.9646185294813909,0.932183199398798
GNB,11,0.9482758620689655,0.9524617996604414,0.9473684210526315,0.9472711053442544,0.9466997050392159,0.8998825779289579
RF,11,0.9482758620689655,0.9524617996604414,0.9473684210526315,0.9472711053442544,0.9466997050392159,0.8998825779289579
SVM,11,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
LGB,12,1.0,1.0,1.0,1.0,1.0,1.0
LDA,12,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,12,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
GNB,12,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
RF,12,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
SVM,12,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LGB,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LDA,13,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LR,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
RF,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
SVM,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LGB,14,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LDA,14,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571
LR,14,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
GNB,14,0.9107142857142858,0.9112388250319287,0.9107142857142857,0.9106858054226475,0.9106331955712026,0.8219529433756427
RF,14,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571
SVM,14,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LGB,15,0.9464285714285714,0.9523026315789473,0.9473684210526315,0.9471730672179985,0.9466597792567828,0.8995286464111556
LDA,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
LR,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
GNB,15,0.8940886699507389,0.8965652344260154,0.8947368421052632,0.894541910331384,0.8943943710207195,0.7911055630144684
RF,15,0.9291871921182266,0.9318706194767316,0.9298245614035088,0.9296946068875893,0.9294976571864443,0.8615634022204445
SVM,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
LGB,16,0.9476600985221675,0.9479517759917033,0.9473684210526315,0.9473684210526315,0.9472984322508399,0.895320197044335
LDA,16,0.9482758620689655,0.9524617996604414,0.9473684210526315,0.9472711053442544,0.9466997050392159,0.8998825779289579
LR,16,0.9476600985221675,0.9479517759917033,0.9473684210526315,0.9473684210526315,0.9472984322508399,0.895320197044335
GNB,16,0.9125615763546798,0.9128424509549737,0.9122807017543859,0.9122807017543859,0.9122133051304384,0.8251231527093597
RF,16,0.9476600985221675,0.9479517759917033,0.9473684210526315,0.9473684210526315,0.9472984322508399,0.895320197044335
SVM,16,0.9655172413793103,0.9672514619883041,0.9649122807017544,0.9648906749632703,0.9646185294813909,0.932183199398798
LGB,17,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LDA,17,0.9464285714285714,0.9516129032258064,0.9464285714285714,0.9462743843939878,0.9457148690725334,0.8980265101338745
